Locus_1_Transcript_1/1_Confidence_1.000_Length_963	Cre17.g701650.t1.1	3e-47	Ribosomal L27e protein family
Locus_2_Transcript_26/35_Confidence_0.081_Length_512	Cre12.g548400.t1.1	7e-58	photosystem II light harvesting complex gene 2.2
Locus_2_Transcript_27/35_Confidence_0.061_Length_452	Cre12.g548400.t1.1	3e-51	photosystem II light harvesting complex gene 2.2
Locus_2_Transcript_28/35_Confidence_0.101_Length_1231	Cre12.g508750.t1.1	1e-58	photosystem I light harvesting complex gene 6
Locus_2_Transcript_29/35_Confidence_0.121_Length_1979	Cre06.g272650.t1.1	1e-85	photosystem I light harvesting complex gene 5
Locus_2_Transcript_30/35_Confidence_0.222_Length_1979	Cre12.g548400.t1.1	4e-119	photosystem II light harvesting complex gene 2.2
Locus_2_Transcript_31/35_Confidence_0.131_Length_1594	Cre06.g284200.t1.1	2e-59	photosystem II light harvesting complex gene 2.1
Locus_2_Transcript_32/35_Confidence_0.202_Length_1696	Cre12.g548400.t1.1	7e-116	photosystem II light harvesting complex gene 2.2
Locus_2_Transcript_33/35_Confidence_0.212_Length_2059	Cre06.g284200.t1.1	9e-112	photosystem II light harvesting complex gene 2.1
Locus_2_Transcript_34/35_Confidence_0.212_Length_1430	Cre12.g548400.t1.1	3e-131	photosystem II light harvesting complex gene 2.2
Locus_2_Transcript_35/35_Confidence_0.222_Length_1800	Cre12.g548400.t1.1	7e-120	photosystem II light harvesting complex gene 2.2
Locus_3_Transcript_1/10_Confidence_0.217_Length_925	Cre04.g229300.t1.2	3e-115	rubisco activase
Locus_3_Transcript_2/10_Confidence_0.130_Length_897	Cre04.g229300.t1.2	4e-88	rubisco activase
Locus_3_Transcript_3/10_Confidence_0.565_Length_2398	Cre04.g229300.t1.2	0.0	rubisco activase
Locus_3_Transcript_4/10_Confidence_0.565_Length_2075	Cre04.g229300.t1.2	0.0	rubisco activase
Locus_3_Transcript_5/10_Confidence_0.478_Length_1708	Cre04.g229300.t1.2	0.0	rubisco activase
Locus_3_Transcript_6/10_Confidence_0.609_Length_2527	Cre04.g229300.t1.2	5e-165	rubisco activase
Locus_3_Transcript_7/10_Confidence_0.391_Length_1897	Cre04.g229300.t1.2	1e-89	rubisco activase
Locus_3_Transcript_8/10_Confidence_0.565_Length_2673	Cre04.g229300.t1.2	0.0	rubisco activase
Locus_3_Transcript_9/10_Confidence_0.435_Length_2427	Cre04.g229300.t1.2	0.0	rubisco activase
Locus_3_Transcript_10/10_Confidence_0.565_Length_2163	Cre04.g229300.t1.2	0.0	rubisco activase
Locus_5_Transcript_6/1220_Confidence_1.000_Length_621	Cre06.g261900.t1.1	1e-64	
Locus_5_Transcript_15/1220_Confidence_1.000_Length_1587	Cre03.g199050.t1.1	8e-20	Protein kinase family protein
Locus_5_Transcript_16/1220_Confidence_1.000_Length_129	Cre03.g199050.t1.1	3e-15	Protein kinase family protein
Locus_5_Transcript_17/1220_Confidence_1.000_Length_433	Cre03.g199050.t1.1	3e-76	Protein kinase family protein
Locus_5_Transcript_18/1220_Confidence_1.000_Length_163	Cre03.g199050.t1.1	3e-16	Protein kinase family protein
Locus_5_Transcript_20/1220_Confidence_1.000_Length_505	Cre03.g199050.t1.1	4e-46	Protein kinase family protein
Locus_5_Transcript_21/1220_Confidence_1.000_Length_572	Cre03.g199050.t1.1	2e-75	Protein kinase family protein
Locus_5_Transcript_23/1220_Confidence_1.000_Length_100	Cre03.g199050.t1.1	2e-08	Protein kinase family protein
Locus_5_Transcript_26/1220_Confidence_1.000_Length_360	Cre03.g199050.t1.1	2e-42	Protein kinase family protein
Locus_5_Transcript_29/1220_Confidence_1.000_Length_675	Cre02.g131300.t1.1	5e-54	Protein of unknown function (DUF155)
Locus_5_Transcript_30/1220_Confidence_1.000_Length_168	Cre02.g131300.t1.1	3e-07	Protein of unknown function (DUF155)
Locus_5_Transcript_38/1220_Confidence_1.000_Length_1168	Cre16.g653850.t1.1	2e-31	CSL zinc finger domain-containing protein
Locus_5_Transcript_53/1220_Confidence_1.000_Length_115	Cre02.g096000.t1.2	2e-12	white-brown complex homolog protein 11
Locus_5_Transcript_54/1220_Confidence_1.000_Length_133	Cre02.g096000.t1.2	3e-14	white-brown complex homolog protein 11
Locus_5_Transcript_56/1220_Confidence_1.000_Length_121	Cre02.g096000.t1.2	3e-11	white-brown complex homolog protein 11
Locus_5_Transcript_57/1220_Confidence_1.000_Length_110	Cre02.g096000.t1.2	2e-16	white-brown complex homolog protein 11
Locus_5_Transcript_59/1220_Confidence_1.000_Length_188	Cre02.g096000.t1.2	2e-21	white-brown complex homolog protein 11
Locus_5_Transcript_60/1220_Confidence_1.000_Length_106	Cre02.g096000.t1.2	5e-10	white-brown complex homolog protein 11
Locus_5_Transcript_61/1220_Confidence_1.000_Length_109	Cre02.g096000.t1.2	2e-09	white-brown complex homolog protein 11
Locus_5_Transcript_70/1220_Confidence_1.000_Length_473	Cre02.g096000.t1.2	2e-41	white-brown complex homolog protein 11
Locus_5_Transcript_71/1220_Confidence_1.000_Length_155	Cre02.g096000.t1.2	2e-19	white-brown complex homolog protein 11
